,code,region
226,11.01.13.2009,Pulo Air
227,11.01.13.2010,Lawe Melang
228,11.01.13.2011,Mersak
229,11.01.13.2012,Simpang Dua
230,11.01.13.2013,Simpang Tiga
231,11.01.14,Kluet Timur
232,11.01.14.2001,Paya Dapur
233,11.01.14.2002,Sapik
234,11.01.14.2003,Alai
235,11.01.14.2004,Durian Kawan
236,11.01.14.2005,Lawe Sawah
237,11.01.14.2006,Lawe Buluh Didi
238,11.01.14.2007,Pucuk Lembang
239,11.01.14.2008,Paya Laba
240,11.01.14.2009,Lawe Cimanok
241,11.01.15,Bakongan Timur
242,11.01.15.2001,Pasie Seubadeh
243,11.01.15.2002,Ladang Rimba
244,11.01.15.2003,Ujong Pulo Rayeuk
245,11.01.15.2004,Sawah Tingkeum
246,11.01.15.2005,Simpang
247,11.01.15.2006,Ujong Pulo Cut
248,11.01.15.2008,Seuleukat
249,11.01.16,Trumon Timur
250,11.01.16.2005,Pinto Rimba
251,11.01.16.2006,Krueng Luas
252,11.01.16.2007,Jambo Dalem
253,11.01.16.2008,Kapa Sesak
254,11.01.16.2009,Seuneubok Punto
255,11.01.16.2010,Seuneubok Pusaka
256,11.01.16.2011,Alur Bujok
257,11.01.16.2012,Titi Poben
258,11.01.17,Kota Bahagia
259,11.01.17.2001,Buket Gadeng
260,11.01.17.2002,Rambong
261,11.01.17.2003,Seuneubok Keuranji
262,11.01.17.2004,Seuneubok Alur Buloh
263,11.01.17.2005,Ujong Tanoh
264,11.01.17.2006,Ujong Gunong Cut
265,11.01.17.2007,Ujong Gunung Rayeuk
266,11.01.17.2008,Beutong
267,11.01.17.2009,Jambo Keupok
268,11.01.17.2010,Alurduamas
269,11.01.18,Trumon Tengah
270,11.01.18.2001,Ladang Rimba
271,11.01.18.2002,Gunong Kapho
272,11.01.18.2003,Kampong Teungoh
273,11.01.18.2004,Krueng Batee
274,11.01.18.2005,Pulo Paya
275,11.01.18.2006,Jambo Papeun
276,11.01.18.2007,Cot Bayu
277,11.01.18.2008,Naca
278,11.01.18.2009,Ie Jeureuneh
279,11.01.18.2010,Lhok Raya
280,11.02,KAB. ACEH TENGGARA
281,11.02.01,Lawe Alas
282,11.02.01.2001,Engkeran
283,11.02.01.2002,Rumah Kampung
284,11.02.01.2004,Pasir Bangun
285,11.02.01.2006,Kubu
286,11.02.01.2007,Lawe Kongker
287,11.02.01.2008,Kuta Cingkam II
288,11.02.01.2009,Muara Baru
289,11.02.01.2011,Kuta Batu I
290,11.02.01.2012,Kuta Cingkam I
291,11.02.01.2013,Kuta Batu II
292,11.02.01.2014,Lawe Sempilang
293,11.02.01.2015,Prapat Batu Nunggul
294,11.02.01.2016,Pulo Sepang
295,11.02.01.2017,Rih Mbelang
296,11.02.01.2018,Kute Batu Baru
297,11.02.01.2019,Darul Amin
298,11.02.01.2020,Lawe Lubang Indah
299,11.02.01.2021,Batu Hamparan
300,11.02.01.2022,Paye Munje
301,11.02.01.2023,Pulo Ndapdap
302,11.02.01.2024,Pasir Nunggul
303,11.02.01.2025,Cingkham Mekhanggun
304,11.02.01.2026,Pintu Khimbe
305,11.02.01.2027,Lawe Kongker Hilir
306,11.02.01.2028,Pulo Gadung
307,11.02.01.2029,Pasikh Pehkmate
308,11.02.01.2030,Pasikh Nunang
309,11.02.01.2031,Deleng Kukusen
310,11.02.02,Lawe Sigala-Gala
311,11.02.02.2001,Bukit Merdeka
312,11.02.02.2002,Darul Aman
313,11.02.02.2003,Lawe Kesumpat
